"Category","Annual Mean","5-yr smooth"
"1901",20.26,20.19
"1902",20.58,20.21
"1903",19.76,20.23
"1904",20.22,20.24
"1905",20.03,20.25
"1906",20.07,20.25
"1907",20.54,20.24
"1908",20.36,20.23
"1909",20.42,20.22
"1910",20.33,20.2
"1911",20.36,20.19
"1912",19.79,20.19
"1913",19.84,20.2
"1914",20.17,20.21
"1915",20.28,20.22
"1916",20.65,20.23
"1917",20.34,20.24
"1918",20.23,20.23
"1919",19.79,20.23
"1920",20.04,20.23
"1921",20.58,20.23
"1922",20.42,20.23
"1923",20.21,20.24
"1924",20,20.26
"1925",20.23,20.27
"1926",20.22,20.29
"1927",20.71,20.31
"1928",20.42,20.33
"1929",20.29,20.34
"1930",20.11,20.36
"1931",20.12,20.37
"1932",20.25,20.39
"1933",20.76,20.42
"1934",20.74,20.46
"1935",20.44,20.49
"1936",20.41,20.52
"1937",20.53,20.55
"1938",20.55,20.56
"1939",20.54,20.56
"1940",20.51,20.57
"1941",20.56,20.58
"1942",20.63,20.6
"1943",20.76,20.64
"1944",20.48,20.71
"1945",20.98,20.78
"1946",20.99,20.86
"1947",20.74,20.93
"1948",20.95,20.97
"1949",20.84,20.98
"1950",21.19,20.96
"1951",20.93,20.92
"1952",20.7,20.88
"1953",20.99,20.84
"1954",21.01,20.8
"1955",20.5,20.78
"1956",20.62,20.75
"1957",20.96,20.73
"1958",20.6,20.71
"1959",20.65,20.69
"1960",20.58,20.66
"1961",20.57,20.62
"1962",20.9,20.59
"1963",20.74,20.56
"1964",20.43,20.53
"1965",20.58,20.51
"1966",20.2,20.5
"1967",20.49,20.49
"1968",20.11,20.48
"1969",20.77,20.46
"1970",20.36,20.45
"1971",20.5,20.43
"1972",20.85,20.42
"1973",20.42,20.41
"1974",20.46,20.41
"1975",20.27,20.42
"1976",19.91,20.44
"1977",20.73,20.47
"1978",20.53,20.5
"1979",20.25,20.53
"1980",20.78,20.56
"1981",20.64,20.58
"1982",20.89,20.61
"1983",20.62,20.62
"1984",20.48,20.63
"1985",20.54,20.64
"1986",20.77,20.64
"1987",20.41,20.64
"1988",20.52,20.66
"1989",20.91,20.7
"1990",20.96,20.76
"1991",20.9,20.86
"1992",20.68,20.96
"1993",20.96,21.07
"1994",21.38,21.15
"1995",21.31,21.21
"1996",21.17,21.22
"1997",20.91,21.2
"1998",21.44,21.16
"1999",21,21.12
"2000",21.17,21.09
"2001",21,21.1
"2002",21.19,21.12
"2003",21.26,21.16
"2004",20.98,21.19
"2005",21.28,21.22
"2006",21.45,21.24
"2007",21.09,21.24
"2008",21.06,21.23
"2009",21.55,21.23
"2010",20.78,21.24
"2011",21.59,21.28
"2012",21.66,21.35
"2013",21.16,21.43
"2014",21.39,21.53
"2015",21.54,21.62
"2016",21.75,21.71
"2017",22.03,21.78
"2018",21.66,21.84
"2019",21.88,21.89
"2020",22.08,21.93
"2021",21.86,21.97